mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,time_since_treatment,bridge_year
-0.143,0.064,-0.252,0.008,0.002,0.001,1078.0,2702.0,1.01,20,2016
-0.028,0.125,-0.276,0.217,0.002,0.002,3774.0,3543.0,1.0,23,1982
-0.031,0.124,-0.273,0.22,0.002,0.002,4898.0,4028.0,1.0,25,1957
-0.031,0.128,-0.277,0.211,0.003,0.002,2399.0,3617.0,1.0,28,1999
-0.034,0.124,-0.262,0.215,0.003,0.002,2007.0,1345.0,1.01,30,2015
-0.034,0.123,-0.283,0.202,0.002,0.002,5122.0,3637.0,1.0,33,0
-0.031,0.126,-0.287,0.205,0.003,0.002,2126.0,1490.0,1.0,-22,2004
-0.033,0.13,-0.281,0.233,0.003,0.002,1897.0,1935.0,1.0,-38,1988
-0.025,0.126,-0.264,0.231,0.003,0.002,1868.0,476.0,1.0,-33,1989
-0.028,0.122,-0.273,0.201,0.002,0.002,2848.0,2166.0,1.0,-28,1951
-0.031,0.123,-0.261,0.228,0.002,0.002,3017.0,2914.0,1.0,-23,1968
-0.032,0.125,-0.273,0.214,0.002,0.002,3107.0,1979.0,1.0,36,1983
-0.029,0.126,-0.258,0.229,0.003,0.002,2351.0,1278.0,1.0,41,1991
-0.035,0.124,-0.285,0.208,0.004,0.004,1237.0,424.0,1.0,35,1987
-0.031,0.123,-0.269,0.213,0.002,0.002,5986.0,4587.0,1.0,40,1992
-0.035,0.125,-0.281,0.209,0.002,0.002,3373.0,4690.0,1.0,45,2008
-0.033,0.125,-0.283,0.21,0.003,0.003,2361.0,1244.0,1.0,-27,1979
-0.032,0.126,-0.269,0.21,0.002,0.002,2905.0,3117.0,1.0,81,2000
-0.033,0.125,-0.265,0.211,0.003,0.002,1860.0,1476.0,1.0,86,1961
-0.032,0.127,-0.282,0.211,0.003,0.003,1537.0,1251.0,1.0,91,1975
-0.033,0.123,-0.28,0.197,0.002,0.002,3779.0,2959.0,1.0,96,1997
-0.033,0.123,-0.279,0.208,0.001,0.002,6781.0,4489.0,1.0,101,1889
