mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,time_since_treatment,bridge_year
-0.032,0.123,-0.272,0.201,0.003,0.002,1928.0,755.0,1.0,12,1991
-0.032,0.124,-0.266,0.221,0.002,0.002,3092.0,1804.0,1.0,13,1987
-0.027,0.128,-0.262,0.236,0.003,0.002,1801.0,962.0,1.0,14,1992
-0.031,0.122,-0.262,0.212,0.002,0.002,4943.0,2901.0,1.0,15,2008
-0.029,0.124,-0.272,0.209,0.002,0.002,5517.0,4614.0,1.0,-18,1979
-0.028,0.121,-0.254,0.216,0.002,0.002,3066.0,2614.0,1.0,17,2000
-0.037,0.125,-0.282,0.196,0.003,0.002,1875.0,1521.0,1.0,22,1961
-0.037,0.125,-0.282,0.206,0.003,0.003,1346.0,617.0,1.0,27,1975
-0.033,0.122,-0.268,0.203,0.002,0.002,3895.0,4152.0,1.0,32,1997
-0.033,0.126,-0.282,0.205,0.003,0.002,2007.0,1384.0,1.0,26,1889
-0.035,0.129,-0.291,0.209,0.003,0.002,1831.0,1008.0,1.0,31,1973
-0.168,0.13,-0.424,0.069,0.005,0.003,765.0,729.0,1.01,19,1972
-0.145,0.119,-0.36,0.089,0.003,0.002,1428.0,813.0,1.0,24,1976
-0.143,0.114,-0.348,0.083,0.003,0.002,1190.0,1662.0,1.0,29,1970
-0.137,0.109,-0.336,0.079,0.003,0.002,1660.0,1773.0,1.0,34,1935
-0.128,0.107,-0.322,0.081,0.003,0.002,1723.0,2993.0,1.0,39,1950
-0.1,0.099,-0.273,0.115,0.002,0.001,3142.0,2842.0,1.0,44,1952
-0.079,0.094,-0.256,0.114,0.002,0.001,2190.0,3586.0,1.0,49,1965
-0.1,0.096,-0.273,0.098,0.002,0.001,2816.0,4423.0,1.0,54,2018
-0.081,0.095,-0.258,0.114,0.002,0.001,3833.0,4376.0,1.0,59,1971
-0.066,0.094,-0.245,0.124,0.002,0.001,2991.0,3273.0,1.0,64,1996
-0.047,0.09,-0.223,0.136,0.001,0.001,6002.0,4341.0,1.0,69,2011
-0.031,0.123,-0.279,0.201,0.002,0.002,4574.0,3023.0,1.0,37,1995
-0.031,0.123,-0.277,0.203,0.002,0.002,3845.0,4145.0,1.0,42,1967
-0.033,0.125,-0.273,0.216,0.002,0.002,3748.0,2686.0,1.0,47,2016
-0.028,0.122,-0.268,0.218,0.002,0.002,4181.0,3061.0,1.0,52,1982
-0.032,0.12,-0.264,0.201,0.002,0.002,3437.0,1830.0,1.0,-21,1957
-0.03,0.121,-0.266,0.211,0.001,0.002,7248.0,3601.0,1.0,-16,1999
-0.032,0.128,-0.282,0.212,0.002,0.002,3010.0,1653.0,1.0,-17,2015
-0.029,0.131,-0.281,0.227,0.003,0.003,1792.0,1286.0,1.0,18,0
-0.027,0.125,-0.262,0.214,0.003,0.002,1725.0,2564.0,1.0,20,2004
-0.033,0.121,-0.271,0.194,0.002,0.002,3952.0,4240.0,1.0,23,1988
-0.032,0.126,-0.278,0.22,0.002,0.002,3471.0,3553.0,1.0,25,1989
-0.032,0.124,-0.273,0.224,0.002,0.002,3620.0,3158.0,1.01,28,1951
-0.035,0.124,-0.282,0.205,0.002,0.002,3346.0,3227.0,1.0,30,1968
-0.027,0.125,-0.27,0.223,0.002,0.002,3262.0,2220.0,1.0,33,1983
-0.035,0.126,-0.278,0.214,0.002,0.002,3836.0,3559.0,1.0,-22,1991
-0.032,0.123,-0.271,0.204,0.002,0.002,3116.0,773.0,1.0,-38,1987
-0.029,0.124,-0.261,0.226,0.003,0.002,1387.0,594.0,1.0,-33,1992
-0.037,0.126,-0.272,0.219,0.003,0.002,2143.0,1760.0,1.0,-28,2008
-0.028,0.125,-0.276,0.223,0.003,0.002,1857.0,805.0,1.0,-23,1979
-0.027,0.124,-0.255,0.23,0.002,0.002,4158.0,1912.0,1.0,36,2000
-0.034,0.13,-0.292,0.22,0.005,0.006,1026.0,382.0,1.0,41,1961
-0.024,0.125,-0.272,0.229,0.002,0.002,2593.0,1489.0,1.0,35,1975
-0.028,0.128,-0.284,0.213,0.003,0.002,1499.0,834.0,1.0,40,1997
-0.034,0.123,-0.274,0.211,0.002,0.002,5035.0,3889.0,1.01,45,1889
-0.033,0.122,-0.263,0.214,0.002,0.002,4370.0,3939.0,1.0,-27,1973
-0.031,0.127,-0.289,0.205,0.002,0.003,2921.0,1081.0,1.0,81,1972
-0.033,0.128,-0.282,0.211,0.002,0.002,2730.0,3526.0,1.0,86,1976
-0.034,0.124,-0.266,0.213,0.002,0.002,3410.0,3351.0,1.0,91,1970
-0.037,0.122,-0.269,0.212,0.002,0.002,3767.0,3192.0,1.0,96,1935
-0.033,0.126,-0.279,0.208,0.002,0.002,3260.0,1507.0,1.0,101,1950
-0.037,0.127,-0.276,0.206,0.003,0.002,1923.0,3120.0,1.0,106,1952
-0.031,0.122,-0.283,0.198,0.002,0.002,5115.0,3183.0,1.0,111,1965
-0.03,0.126,-0.279,0.211,0.002,0.002,3118.0,1622.0,1.0,116,2018
-0.03,0.125,-0.277,0.207,0.003,0.002,2344.0,2048.0,1.0,121,1971
-0.028,0.124,-0.259,0.23,0.002,0.002,3557.0,2578.0,1.0,126,1996
-0.037,0.127,-0.275,0.217,0.003,0.002,2307.0,1473.0,1.0,131,2011
-0.034,0.128,-0.292,0.206,0.003,0.003,1498.0,555.0,1.0,38,1995
-0.031,0.124,-0.264,0.218,0.002,0.002,3512.0,3635.0,1.0,43,1967
-0.03,0.124,-0.275,0.213,0.002,0.002,5385.0,2769.0,1.0,48,2016
-0.032,0.129,-0.29,0.218,0.003,0.002,1855.0,1324.0,1.0,50,1982
-0.031,0.125,-0.275,0.206,0.003,0.002,2412.0,1025.0,1.0,55,1957
-0.028,0.126,-0.274,0.226,0.002,0.002,3632.0,2328.0,1.0,60,1999
-0.03,0.124,-0.281,0.211,0.003,0.002,2459.0,1259.0,1.0,65,2015
-0.029,0.125,-0.266,0.223,0.002,0.002,2787.0,1876.0,1.0,70,0
-0.027,0.12,-0.268,0.206,0.002,0.002,4968.0,3847.0,1.0,75,2004
-0.03,0.126,-0.278,0.214,0.002,0.002,2851.0,1856.0,1.0,80,1988
-0.028,0.126,-0.264,0.223,0.003,0.003,1596.0,1364.0,1.01,85,1989
-0.029,0.125,-0.272,0.215,0.002,0.002,3890.0,1377.0,1.0,53,1951
-0.029,0.124,-0.263,0.22,0.002,0.002,3635.0,2574.0,1.0,58,1968
-0.033,0.125,-0.272,0.218,0.002,0.002,4191.0,4503.0,1.0,63,1983
-0.032,0.125,-0.262,0.229,0.003,0.002,1975.0,2367.0,1.0,68,1991
-0.029,0.125,-0.277,0.211,0.002,0.002,4845.0,2755.0,1.0,-48,1987
-0.03,0.128,-0.282,0.223,0.003,0.003,2229.0,1163.0,1.0,-43,1992
-0.034,0.126,-0.29,0.206,0.003,0.003,2022.0,709.0,1.0,-26,2008
-0.028,0.126,-0.282,0.216,0.004,0.003,1280.0,574.0,1.0,-41,1979
-0.034,0.128,-0.305,0.202,0.003,0.003,1899.0,1070.0,1.0,-36,2000
-0.028,0.124,-0.274,0.219,0.002,0.002,2517.0,3888.0,1.0,-31,1961
-0.029,0.126,-0.285,0.202,0.002,0.002,2834.0,3720.0,1.0,46,1975
-0.032,0.125,-0.263,0.224,0.002,0.002,2778.0,2501.0,1.0,51,1997
-0.027,0.124,-0.274,0.214,0.002,0.002,3196.0,2916.0,1.0,-46,1889
-0.03,0.125,-0.285,0.204,0.002,0.002,3247.0,1758.0,1.0,-29,1973
-0.028,0.122,-0.258,0.215,0.003,0.002,2206.0,2820.0,1.0,-24,1972
-0.03,0.125,-0.269,0.219,0.002,0.002,3088.0,2802.0,1.0,-19,1976
-0.037,0.131,-0.295,0.222,0.005,0.005,881.0,342.0,1.01,-14,1970
-0.031,0.124,-0.266,0.216,0.002,0.002,3394.0,3119.0,1.0,-9,1935
-0.031,0.125,-0.284,0.207,0.002,0.002,3409.0,2631.0,1.0,-4,1950
-0.028,0.125,-0.279,0.211,0.003,0.002,1666.0,2070.0,1.0,1,1952
-0.03,0.125,-0.266,0.217,0.002,0.002,2694.0,3783.0,1.0,6,1965
-0.034,0.12,-0.256,0.211,0.002,0.002,5148.0,4010.0,1.0,11,2018
-0.033,0.126,-0.274,0.21,0.003,0.002,1671.0,1897.0,1.0,16,1971
-0.029,0.127,-0.269,0.22,0.002,0.002,2867.0,3864.0,1.0,21,1996
-0.033,0.124,-0.261,0.215,0.002,0.002,3133.0,5245.0,1.0,-45,2011
-0.028,0.124,-0.28,0.204,0.002,0.002,3832.0,3327.0,1.0,-40,1995
-0.029,0.124,-0.27,0.207,0.003,0.002,2240.0,1006.0,1.0,-35,1967
-0.032,0.124,-0.276,0.21,0.002,0.002,2767.0,2625.0,1.0,-30,2016
-0.029,0.123,-0.263,0.218,0.002,0.002,2700.0,3062.0,1.0,-25,1982
-0.03,0.124,-0.273,0.213,0.004,0.003,1050.0,538.0,1.0,-20,1957
-0.027,0.126,-0.278,0.221,0.003,0.002,2824.0,1408.0,1.0,-15,1999
-0.034,0.132,-0.296,0.223,0.004,0.004,1460.0,532.0,1.0,-13,2015
-0.027,0.125,-0.265,0.217,0.002,0.002,3019.0,4050.0,1.0,-12,0
-0.03,0.125,-0.268,0.217,0.001,0.002,7656.0,4451.0,1.0,-11,2004
-0.026,0.127,-0.274,0.218,0.003,0.002,1997.0,1371.0,1.0,-10,1988
-0.031,0.124,-0.264,0.221,0.003,0.002,2366.0,1394.0,1.0,-8,1989
-0.032,0.131,-0.291,0.226,0.003,0.002,1476.0,540.0,1.0,-7,1951
-0.028,0.126,-0.279,0.21,0.002,0.002,3486.0,3849.0,1.0,-6,1968
-0.027,0.128,-0.298,0.213,0.003,0.004,1696.0,1154.0,1.0,-5,1983
-0.031,0.123,-0.269,0.206,0.002,0.002,3444.0,2579.0,1.0,-3,1991
-0.034,0.126,-0.273,0.213,0.003,0.003,1429.0,757.0,1.0,-2,1987
-0.031,0.121,-0.271,0.202,0.002,0.002,4931.0,2657.0,1.0,-1,1992
-0.033,0.128,-0.279,0.22,0.002,0.002,2743.0,2013.0,1.0,0,2008
-0.036,0.123,-0.284,0.202,0.002,0.002,2532.0,3117.0,1.0,2,1979
-0.03,0.126,-0.272,0.219,0.002,0.002,2843.0,2791.0,1.0,3,2000
-0.032,0.125,-0.282,0.219,0.002,0.003,2881.0,1009.0,1.0,4,1961
-0.033,0.126,-0.271,0.223,0.002,0.002,3679.0,3246.0,1.0,5,1975
-0.028,0.123,-0.262,0.217,0.003,0.002,2335.0,2261.0,1.0,-34,1997
-0.029,0.125,-0.27,0.215,0.002,0.002,2802.0,4261.0,1.0,7,1889
-0.036,0.126,-0.283,0.201,0.002,0.002,3248.0,3287.0,1.0,8,1973
-0.027,0.122,-0.262,0.223,0.002,0.002,3459.0,2755.0,1.0,9,1972
-0.027,0.127,-0.269,0.225,0.003,0.002,2534.0,2724.0,1.0,10,1976
-0.029,0.126,-0.272,0.218,0.003,0.002,1961.0,2334.0,1.0,12,1970
-0.032,0.124,-0.262,0.218,0.002,0.002,2550.0,4004.0,1.0,13,1935
-0.032,0.123,-0.284,0.208,0.002,0.002,4174.0,3481.0,1.0,14,1950
-0.029,0.124,-0.279,0.201,0.002,0.002,2892.0,1377.0,1.0,15,1952
-0.034,0.127,-0.278,0.214,0.003,0.002,2159.0,1292.0,1.0,-18,1965
-0.035,0.126,-0.286,0.197,0.003,0.002,2090.0,1889.0,1.0,17,2018
-0.032,0.124,-0.26,0.223,0.003,0.002,2181.0,3614.0,1.0,22,1971
-0.052,0.091,-0.235,0.126,0.002,0.001,2311.0,2660.0,1.0,27,1996
-0.006,0.089,-0.19,0.178,0.001,0.001,3733.0,2598.0,1.0,32,2011
-0.029,0.125,-0.272,0.213,0.002,0.002,3234.0,2475.0,1.0,26,1995
-0.032,0.123,-0.26,0.219,0.002,0.002,5072.0,4088.0,1.0,31,1967
-0.035,0.126,-0.288,0.21,0.003,0.004,2400.0,1166.0,1.0,19,2016
-0.028,0.127,-0.295,0.207,0.002,0.002,4955.0,3073.0,1.0,24,1982
-0.029,0.125,-0.28,0.21,0.002,0.002,5825.0,4356.0,1.0,29,1957
-0.026,0.125,-0.271,0.212,0.002,0.002,4048.0,2482.0,1.0,34,1999
-0.032,0.123,-0.274,0.216,0.002,0.002,6562.0,4780.0,1.0,39,2015
-0.029,0.128,-0.291,0.21,0.003,0.002,1430.0,1578.0,1.01,44,0
-0.03,0.123,-0.27,0.209,0.002,0.002,4493.0,3823.0,1.0,49,2004
-0.026,0.126,-0.28,0.219,0.003,0.002,1803.0,517.0,1.0,54,1988
-0.03,0.122,-0.262,0.207,0.002,0.002,2488.0,2446.0,1.0,59,1989
-0.031,0.124,-0.281,0.211,0.002,0.002,3682.0,3531.0,1.0,64,1951
-0.028,0.123,-0.271,0.206,0.002,0.002,3242.0,1480.0,1.0,69,1968
0.009,0.088,-0.165,0.183,0.002,0.001,2677.0,2123.0,1.0,37,1983
0.042,0.096,-0.159,0.213,0.002,0.002,1804.0,3094.0,1.0,42,1991
0.089,0.111,-0.143,0.267,0.004,0.002,968.0,3055.0,1.0,47,1987
0.136,0.136,-0.111,0.379,0.005,0.004,795.0,605.0,1.0,52,1992
-0.023,0.126,-0.257,0.235,0.003,0.002,1597.0,1277.0,1.0,-21,2008
-0.029,0.124,-0.298,0.199,0.003,0.002,1951.0,850.0,1.0,-16,1979
-0.026,0.127,-0.287,0.22,0.004,0.003,892.0,464.0,1.01,-17,2000
-0.025,0.123,-0.243,0.237,0.003,0.002,1346.0,854.0,1.0,18,1961
-0.03,0.125,-0.269,0.212,0.003,0.002,2326.0,2793.0,1.0,20,1975
-0.031,0.124,-0.281,0.204,0.002,0.002,4514.0,2995.0,1.0,23,1997
-0.029,0.123,-0.283,0.193,0.002,0.002,3195.0,2929.0,1.0,25,1889
-0.034,0.123,-0.276,0.202,0.002,0.002,3468.0,2267.0,1.0,28,1973
-0.032,0.124,-0.275,0.211,0.002,0.002,3157.0,4116.0,1.0,30,1972
-0.029,0.132,-0.272,0.247,0.005,0.003,846.0,429.0,1.01,33,1976
-0.037,0.122,-0.289,0.186,0.002,0.002,2955.0,1488.0,1.0,-22,1970
-0.029,0.127,-0.267,0.222,0.002,0.002,3165.0,2751.0,1.0,-38,1935
-0.031,0.126,-0.288,0.208,0.002,0.002,2928.0,3372.0,1.0,-33,1950
-0.03,0.125,-0.288,0.208,0.002,0.002,3789.0,1342.0,1.0,-28,1952
-0.027,0.124,-0.264,0.21,0.002,0.002,2664.0,3574.0,1.0,-23,1965
-0.031,0.123,-0.267,0.213,0.002,0.002,5820.0,4357.0,1.0,36,2018
-0.031,0.122,-0.274,0.199,0.002,0.002,5177.0,3206.0,1.0,41,1971
-0.037,0.128,-0.273,0.22,0.003,0.002,2456.0,3911.0,1.0,35,1996
-0.028,0.123,-0.258,0.224,0.002,0.002,3829.0,2914.0,1.0,40,2011
-0.03,0.126,-0.276,0.208,0.003,0.002,2022.0,1537.0,1.0,45,1995
-0.031,0.126,-0.266,0.224,0.002,0.002,5156.0,3944.0,1.0,-27,1967
-0.029,0.126,-0.27,0.214,0.002,0.002,2820.0,3187.0,1.0,81,2016
-0.033,0.123,-0.28,0.191,0.002,0.002,5532.0,4884.0,1.0,86,1982
-0.031,0.122,-0.278,0.204,0.002,0.002,3309.0,3830.0,1.0,91,1957
-0.035,0.124,-0.27,0.213,0.002,0.002,3244.0,3518.0,1.0,96,1999
-0.032,0.127,-0.281,0.218,0.003,0.003,1795.0,862.0,1.0,101,2015
-0.031,0.124,-0.266,0.216,0.002,0.002,4632.0,4480.0,1.0,106,0
-0.029,0.125,-0.27,0.221,0.003,0.002,1639.0,642.0,1.0,111,2004
-0.031,0.132,-0.294,0.209,0.004,0.004,1359.0,1052.0,1.0,116,1988
-0.034,0.124,-0.273,0.217,0.002,0.002,5074.0,4741.0,1.0,121,1989
-0.03,0.125,-0.269,0.222,0.003,0.002,2234.0,2338.0,1.0,126,1951
-0.026,0.128,-0.272,0.227,0.002,0.002,2731.0,1709.0,1.0,131,1968
-0.029,0.123,-0.267,0.21,0.002,0.002,4386.0,3242.0,1.0,38,1983
-0.03,0.125,-0.275,0.205,0.003,0.002,1716.0,2791.0,1.0,43,1991
-0.029,0.121,-0.266,0.209,0.002,0.002,3652.0,4432.0,1.0,48,1987
-0.03,0.129,-0.272,0.216,0.004,0.003,1108.0,680.0,1.01,50,1992
-0.032,0.122,-0.272,0.206,0.002,0.002,2956.0,1603.0,1.0,55,2008
-0.03,0.123,-0.261,0.215,0.002,0.002,2436.0,2362.0,1.0,60,1979
-0.031,0.126,-0.278,0.211,0.002,0.002,3440.0,3849.0,1.0,65,2000
-0.031,0.13,-0.281,0.232,0.003,0.004,1956.0,921.0,1.0,70,1961
-0.032,0.127,-0.276,0.22,0.002,0.002,3712.0,4483.0,1.0,75,1975
-0.033,0.127,-0.281,0.207,0.002,0.002,3187.0,2578.0,1.0,80,1997
-0.025,0.127,-0.27,0.23,0.003,0.002,1901.0,1518.0,1.0,85,1889
-0.028,0.126,-0.275,0.219,0.003,0.002,2115.0,1604.0,1.0,53,1973
-0.028,0.125,-0.279,0.212,0.002,0.002,4465.0,4197.0,1.0,58,1972
-0.03,0.121,-0.267,0.209,0.002,0.002,3034.0,3526.0,1.0,63,1976
-0.031,0.124,-0.267,0.228,0.003,0.002,2116.0,1202.0,1.0,68,1970
-0.031,0.125,-0.276,0.214,0.002,0.002,3681.0,3554.0,1.0,-48,1935
-0.028,0.121,-0.263,0.206,0.002,0.002,5780.0,4033.0,1.0,-43,1950
-0.028,0.122,-0.282,0.201,0.002,0.002,3546.0,1883.0,1.0,-26,1952
-0.027,0.125,-0.286,0.203,0.002,0.002,3539.0,3868.0,1.0,-41,1965
-0.031,0.125,-0.286,0.208,0.002,0.002,3831.0,4169.0,1.0,-36,2018
-0.027,0.125,-0.268,0.227,0.003,0.002,1486.0,1220.0,1.0,-31,1971
-0.027,0.122,-0.271,0.212,0.003,0.002,2161.0,676.0,1.0,46,1996
-0.024,0.126,-0.271,0.22,0.003,0.002,1822.0,2846.0,1.0,51,2011
-0.028,0.124,-0.289,0.206,0.002,0.002,3568.0,2600.0,1.0,-46,1995
-0.03,0.129,-0.281,0.222,0.003,0.003,2394.0,1424.0,1.0,-29,1967
-0.031,0.122,-0.258,0.229,0.002,0.002,5076.0,3144.0,1.0,-24,2016
-0.036,0.126,-0.283,0.211,0.002,0.002,2990.0,3405.0,1.0,-19,1982
-0.031,0.125,-0.295,0.194,0.002,0.002,4761.0,3470.0,1.0,-14,1957
-0.032,0.125,-0.272,0.219,0.002,0.002,3197.0,3279.0,1.0,-9,1999
-0.028,0.124,-0.275,0.202,0.002,0.002,3191.0,3355.0,1.0,-4,2015
-0.03,0.127,-0.294,0.214,0.002,0.002,5349.0,3523.0,1.0,1,0
-0.029,0.126,-0.273,0.209,0.003,0.002,2189.0,3587.0,1.0,6,2004
-0.029,0.122,-0.267,0.213,0.002,0.002,4021.0,3959.0,1.0,11,1988
-0.032,0.125,-0.271,0.217,0.002,0.002,3557.0,3048.0,1.0,16,1989
-0.027,0.127,-0.261,0.231,0.003,0.002,1458.0,584.0,1.0,21,1951
-0.033,0.123,-0.271,0.212,0.002,0.002,3643.0,4330.0,1.0,-45,1968
-0.026,0.127,-0.287,0.215,0.002,0.002,2768.0,1874.0,1.0,-40,1983
-0.03,0.124,-0.277,0.208,0.002,0.002,2562.0,1824.0,1.0,-35,1991
-0.033,0.121,-0.265,0.199,0.002,0.002,3107.0,4712.0,1.0,-30,1987
-0.033,0.128,-0.29,0.206,0.003,0.003,1712.0,541.0,1.0,-25,1992
-0.032,0.125,-0.276,0.216,0.003,0.003,2335.0,1250.0,1.0,-20,2008
-0.034,0.126,-0.281,0.21,0.003,0.003,1476.0,624.0,1.0,-15,1979
0.009,0.109,-0.192,0.233,0.002,0.001,3222.0,4538.0,1.0,-13,2000
-0.029,0.123,-0.272,0.21,0.002,0.002,5409.0,3828.0,1.0,-12,1961
-0.029,0.126,-0.268,0.223,0.003,0.002,2222.0,2155.0,1.0,-11,1975
-0.029,0.126,-0.279,0.217,0.002,0.002,3083.0,3423.0,1.0,-10,1997
-0.028,0.104,-0.232,0.18,0.002,0.002,2570.0,1884.0,1.0,-8,1889
-0.029,0.124,-0.27,0.212,0.002,0.002,3440.0,4891.0,1.0,-7,1973
-0.034,0.125,-0.284,0.211,0.003,0.003,1683.0,1362.0,1.0,-6,1972
-0.03,0.126,-0.267,0.223,0.003,0.002,1972.0,1022.0,1.0,-5,1976
-0.068,0.104,-0.286,0.125,0.002,0.002,3315.0,2035.0,1.0,-3,1970
-0.031,0.126,-0.288,0.21,0.003,0.002,1794.0,1390.0,1.0,-2,1935
-0.03,0.123,-0.265,0.216,0.002,0.002,6316.0,4738.0,1.0,-1,1950
-0.034,0.128,-0.277,0.231,0.003,0.003,2436.0,1889.0,1.0,0,1952
-0.028,0.122,-0.267,0.216,0.002,0.002,3307.0,2684.0,1.0,2,1965
-0.035,0.128,-0.281,0.208,0.003,0.002,1832.0,1705.0,1.0,3,2018
-0.032,0.124,-0.26,0.216,0.002,0.002,2784.0,2428.0,1.0,4,1971
-0.031,0.122,-0.272,0.204,0.002,0.002,3322.0,4256.0,1.0,5,1996
-0.034,0.126,-0.279,0.213,0.002,0.002,2639.0,3518.0,1.0,-34,2011
-0.029,0.127,-0.275,0.224,0.004,0.003,1110.0,451.0,1.0,7,1995
-0.032,0.124,-0.283,0.201,0.002,0.002,2624.0,2439.0,1.0,8,1967
-0.031,0.124,-0.27,0.227,0.002,0.002,3411.0,890.0,1.0,9,2016
-0.029,0.122,-0.251,0.225,0.002,0.002,5002.0,3557.0,1.0,10,1982
-0.057,0.104,-0.263,0.153,0.002,0.002,2807.0,2352.0,1.0,12,1957
-0.029,0.125,-0.273,0.217,0.003,0.003,1973.0,1428.0,1.0,13,1999
-0.037,0.13,-0.307,0.214,0.003,0.004,1562.0,514.0,1.0,14,2015
-0.034,0.126,-0.277,0.219,0.003,0.002,2314.0,3545.0,1.0,15,0
-0.037,0.124,-0.268,0.216,0.003,0.002,2490.0,3486.0,1.0,-18,2004
-0.091,0.108,-0.303,0.11,0.002,0.001,3002.0,4672.0,1.0,17,1988
-0.103,0.115,-0.32,0.126,0.002,0.002,2395.0,2443.0,1.0,22,1989
-0.112,0.118,-0.347,0.112,0.002,0.001,3576.0,4446.0,1.0,27,1951
-0.085,0.109,-0.295,0.13,0.002,0.001,4990.0,4634.0,1.0,32,1968
-0.031,0.125,-0.265,0.218,0.003,0.003,2573.0,1663.0,1.01,26,1983
-0.029,0.122,-0.272,0.203,0.002,0.002,3206.0,4517.0,1.0,31,1991
-0.036,0.122,-0.277,0.199,0.002,0.002,2664.0,1833.0,1.0,19,1987
-0.035,0.125,-0.265,0.215,0.003,0.002,1773.0,1140.0,1.0,24,1992
-0.033,0.123,-0.276,0.218,0.002,0.002,4630.0,3287.0,1.0,29,2008
-0.032,0.127,-0.274,0.225,0.002,0.002,4641.0,3671.0,1.0,34,1979
-0.031,0.124,-0.282,0.204,0.003,0.002,2405.0,2062.0,1.0,39,2000
-0.031,0.123,-0.271,0.213,0.003,0.002,1751.0,2110.0,1.0,44,1961
-0.028,0.122,-0.278,0.199,0.003,0.002,2103.0,2089.0,1.0,49,1975
-0.033,0.126,-0.273,0.223,0.002,0.002,3333.0,3308.0,1.0,54,1997
-0.028,0.125,-0.275,0.213,0.002,0.002,2709.0,3628.0,1.0,59,1889
-0.033,0.126,-0.283,0.208,0.002,0.002,4061.0,2598.0,1.0,64,1973
-0.032,0.126,-0.276,0.214,0.002,0.002,5512.0,4569.0,1.0,69,1972
-0.121,0.131,-0.392,0.121,0.004,0.004,1042.0,707.0,1.01,37,1976
-0.028,0.125,-0.274,0.217,0.002,0.002,6056.0,4236.0,1.0,42,1970
-0.034,0.129,-0.311,0.199,0.004,0.004,1082.0,669.0,1.0,47,1935
-0.033,0.126,-0.277,0.21,0.003,0.002,2018.0,1339.0,1.0,52,1950
-0.032,0.124,-0.269,0.215,0.002,0.002,3363.0,1470.0,1.0,-21,1952
-0.028,0.121,-0.27,0.205,0.002,0.002,4858.0,4192.0,1.0,-16,1965
-0.027,0.123,-0.274,0.212,0.002,0.002,4716.0,5084.0,1.0,-17,2018
-0.026,0.125,-0.267,0.22,0.002,0.002,5682.0,4146.0,1.0,18,1971
-0.032,0.123,-0.272,0.213,0.002,0.002,4557.0,4032.0,1.0,20,1996
-0.028,0.123,-0.262,0.221,0.002,0.002,3646.0,3064.0,1.0,23,2011
-0.031,0.122,-0.271,0.213,0.002,0.002,4819.0,4403.0,1.0,25,1995
-0.032,0.124,-0.271,0.212,0.002,0.002,4042.0,3419.0,1.0,28,1967
-0.027,0.125,-0.257,0.23,0.003,0.002,1964.0,581.0,1.0,30,2016
-0.034,0.124,-0.282,0.197,0.002,0.002,3262.0,1727.0,1.0,33,1982
-0.032,0.131,-0.273,0.235,0.004,0.005,1036.0,628.0,1.0,-22,1957
-0.033,0.125,-0.286,0.196,0.002,0.002,4627.0,3001.0,1.0,-38,1999
-0.034,0.127,-0.27,0.208,0.003,0.002,1739.0,1620.0,1.0,-33,2015
-0.031,0.124,-0.281,0.205,0.002,0.002,5509.0,4804.0,1.0,-28,0
-0.035,0.126,-0.289,0.204,0.003,0.002,2525.0,1580.0,1.0,-23,2004
-0.029,0.124,-0.281,0.206,0.002,0.002,3533.0,3422.0,1.0,36,1988
-0.028,0.123,-0.269,0.208,0.002,0.002,5381.0,3463.0,1.0,41,1989
-0.029,0.125,-0.267,0.225,0.002,0.002,3537.0,3117.0,1.0,35,1951
-0.033,0.124,-0.286,0.195,0.002,0.002,3206.0,5036.0,1.0,40,1968
-0.029,0.124,-0.276,0.225,0.003,0.002,1747.0,504.0,1.0,45,1983
-0.028,0.125,-0.27,0.226,0.002,0.002,2822.0,2749.0,1.0,-27,1991
-0.03,0.122,-0.267,0.201,0.002,0.002,2710.0,4015.0,1.0,81,1987
-0.029,0.124,-0.274,0.215,0.002,0.002,3857.0,3271.0,1.0,86,1992
-0.032,0.124,-0.266,0.217,0.001,0.002,6932.0,3781.0,1.0,91,2008
-0.027,0.125,-0.284,0.208,0.002,0.002,2954.0,1144.0,1.0,96,1979
-0.032,0.124,-0.271,0.216,0.002,0.002,4191.0,3082.0,1.0,101,2000
-0.029,0.126,-0.277,0.208,0.002,0.002,3334.0,3228.0,1.0,106,1961
-0.032,0.126,-0.271,0.217,0.002,0.002,3070.0,891.0,1.0,111,1975
-0.031,0.125,-0.283,0.207,0.003,0.002,2172.0,1724.0,1.0,116,1997
-0.031,0.126,-0.27,0.224,0.002,0.002,4521.0,4204.0,1.0,121,1889
-0.036,0.124,-0.277,0.201,0.003,0.002,2192.0,2111.0,1.0,126,1973
-0.029,0.129,-0.282,0.221,0.004,0.003,1197.0,1111.0,1.0,131,1972
-0.029,0.122,-0.273,0.211,0.002,0.002,3977.0,3090.0,1.0,38,1976
-0.026,0.127,-0.276,0.211,0.002,0.002,3305.0,3090.0,1.0,43,1970
-0.034,0.125,-0.264,0.22,0.002,0.002,4845.0,4192.0,1.0,48,1935
-0.027,0.122,-0.25,0.231,0.002,0.002,5191.0,3864.0,1.0,50,1950
-0.032,0.122,-0.266,0.206,0.002,0.002,2560.0,1115.0,1.0,55,1952
-0.027,0.127,-0.266,0.228,0.003,0.002,1800.0,1197.0,1.0,60,1965
-0.028,0.125,-0.274,0.217,0.002,0.002,3083.0,2670.0,1.0,65,2018
-0.035,0.126,-0.286,0.201,0.002,0.002,3223.0,3050.0,1.0,70,1971
